timestamp,remaining_time,current_capital,total_pnl,active_positions,trades_executed,signals_generated,win_rate,drawdown,exposure,rejected_signals,error_count,BTC/USDT_indicators
2025-02-27T12:23:25.750894,0:14:59.997038,10.0,0.0,0,0,0,0.0,0.0,0,0,0,"{'rsi': 9.524915692050087, 'macd': -156.78786711001885, 'macd_signal': -161.1818642758653, 'macd_hist': 4.393997165846457, 'bb_upper': 49355.850820338186, 'bb_lower': 48060.982058609174, 'bb_mid': 48708.41643947368, 'bb_width': 0.026584086619569115, 'ema_fast': 48334.81469629404, 'ema_slow': 48589.89368826507, 'atr': 175.2364357670289, 'trend': -0.5249630583831322}"
2025-02-27T12:23:27.770177,0:14:57.977755,10.0,0.0,0,0,1,0.0,0.0,0,0,0,"{'rsi': 76.73452325552, 'macd': 52.73599219850439, 'macd_signal': 60.01333135670409, 'macd_hist': -7.277339158199702, 'bb_upper': 54568.32250442401, 'bb_lower': 53968.061996243676, 'bb_mid': 54268.19225033384, 'bb_width': 0.011061000620978699, 'ema_fast': 54410.80127547361, 'ema_slow': 54261.69732680125, 'atr': 216.62724929368852, 'trend': 0.2747867391142522}"
2025-02-27T12:23:29.777577,0:14:55.970355,10.0,0.0,0,0,1,0.0,0.0,0,0,0,"{'rsi': 76.73452325552, 'macd': 52.73599219850439, 'macd_signal': 60.01333135670409, 'macd_hist': -7.277339158199702, 'bb_upper': 54568.32250442401, 'bb_lower': 53968.061996243676, 'bb_mid': 54268.19225033384, 'bb_width': 0.011061000620978699, 'ema_fast': 54410.80127547361, 'ema_slow': 54261.69732680125, 'atr': 216.62724929368852, 'trend': 0.2747867391142522}"
2025-02-27T12:23:31.785790,0:14:53.962142,9.751682747539586,-0.2483,0,1,2,0.0,0.0,0,0,0,"{'rsi': 76.73452325552, 'macd': 52.73599219850439, 'macd_signal': 60.01333135670409, 'macd_hist': -7.277339158199702, 'bb_upper': 54568.32250442401, 'bb_lower': 53968.061996243676, 'bb_mid': 54268.19225033384, 'bb_width': 0.011061000620978699, 'ema_fast': 54410.80127547361, 'ema_slow': 54261.69732680125, 'atr': 216.62724929368852, 'trend': 0.2747867391142522}"
2025-02-27T12:23:33.799325,0:14:51.948607,9.751682747539586,-0.2483,0,1,2,0.0,0.0,0,0,0,"{'rsi': 76.73452325552, 'macd': 52.73599219850439, 'macd_signal': 60.01333135670409, 'macd_hist': -7.277339158199702, 'bb_upper': 54568.32250442401, 'bb_lower': 53968.061996243676, 'bb_mid': 54268.19225033384, 'bb_width': 0.011061000620978699, 'ema_fast': 54410.80127547361, 'ema_slow': 54261.69732680125, 'atr': 216.62724929368852, 'trend': 0.2747867391142522}"
2025-02-27T12:23:35.804975,0:14:49.942957,9.751682747539586,-0.2483,0,1,2,0.0,0.0,0,0,0,"{'rsi': 76.73452325552, 'macd': 52.73599219850439, 'macd_signal': 60.01333135670409, 'macd_hist': -7.277339158199702, 'bb_upper': 54568.32250442401, 'bb_lower': 53968.061996243676, 'bb_mid': 54268.19225033384, 'bb_width': 0.011061000620978699, 'ema_fast': 54410.80127547361, 'ema_slow': 54261.69732680125, 'atr': 216.62724929368852, 'trend': 0.2747867391142522}"
2025-02-27T12:23:37.792231,0:14:47.955701,9.512492137994943,-0.4875,0,2,3,0.0,0.0,0,0,0,"{'rsi': 76.73452325552, 'macd': 52.73599219850439, 'macd_signal': 60.01333135670409, 'macd_hist': -7.277339158199702, 'bb_upper': 54568.32250442401, 'bb_lower': 53968.061996243676, 'bb_mid': 54268.19225033384, 'bb_width': 0.011061000620978699, 'ema_fast': 54410.80127547361, 'ema_slow': 54261.69732680125, 'atr': 216.62724929368852, 'trend': 0.2747867391142522}"
2025-02-27T12:23:39.793902,0:14:45.954030,9.512492137994943,-0.4875,0,2,3,0.0,0.0,0,0,0,"{'rsi': 76.73452325552, 'macd': 52.73599219850439, 'macd_signal': 60.01333135670409, 'macd_hist': -7.277339158199702, 'bb_upper': 54568.32250442401, 'bb_lower': 53968.061996243676, 'bb_mid': 54268.19225033384, 'bb_width': 0.011061000620978699, 'ema_fast': 54410.80127547361, 'ema_slow': 54261.69732680125, 'atr': 216.62724929368852, 'trend': 0.2747867391142522}"
2025-02-27T12:23:41.798596,0:14:43.949336,9.2733015284503,-0.7267,0,3,4,0.0,0.0,0,0,0,"{'rsi': 76.73452325552, 'macd': 52.73599219850439, 'macd_signal': 60.01333135670409, 'macd_hist': -7.277339158199702, 'bb_upper': 54568.32250442401, 'bb_lower': 53968.061996243676, 'bb_mid': 54268.19225033384, 'bb_width': 0.011061000620978699, 'ema_fast': 54410.80127547361, 'ema_slow': 54261.69732680125, 'atr': 216.62724929368852, 'trend': 0.2747867391142522}"
2025-02-27T12:23:43.796170,0:14:41.951762,9.2733015284503,-0.7267,0,3,4,0.0,0.0,0,0,0,"{'rsi': 76.73452325552, 'macd': 52.73599219850439, 'macd_signal': 60.01333135670409, 'macd_hist': -7.277339158199702, 'bb_upper': 54568.32250442401, 'bb_lower': 53968.061996243676, 'bb_mid': 54268.19225033384, 'bb_width': 0.011061000620978699, 'ema_fast': 54410.80127547361, 'ema_slow': 54261.69732680125, 'atr': 216.62724929368852, 'trend': 0.2747867391142522}"
2025-02-27T12:23:45.799611,0:14:39.948321,9.2733015284503,-0.7267,0,3,4,0.0,0.0,0,0,0,"{'rsi': 76.73452325552, 'macd': 52.73599219850439, 'macd_signal': 60.01333135670409, 'macd_hist': -7.277339158199702, 'bb_upper': 54568.32250442401, 'bb_lower': 53968.061996243676, 'bb_mid': 54268.19225033384, 'bb_width': 0.011061000620978699, 'ema_fast': 54410.80127547361, 'ema_slow': 54261.69732680125, 'atr': 216.62724929368852, 'trend': 0.2747867391142522}"
2025-02-27T12:23:47.795913,0:14:37.952019,9.034110918905657,-0.9659,0,4,5,0.0,0.0,0,0,0,"{'rsi': 76.73452325552, 'macd': 52.73599219850439, 'macd_signal': 60.01333135670409, 'macd_hist': -7.277339158199702, 'bb_upper': 54568.32250442401, 'bb_lower': 53968.061996243676, 'bb_mid': 54268.19225033384, 'bb_width': 0.011061000620978699, 'ema_fast': 54410.80127547361, 'ema_slow': 54261.69732680125, 'atr': 216.62724929368852, 'trend': 0.2747867391142522}"
